Spaghetti	 11 oz (320 g) 
Tomato puree	 3 cups (700 g) 
Shallot	 0 oz (20 g) 
Garlic	 1 clove 
Extra virgin olive oil	 2 tbsp (30 g) 
Fine salt	 to taste 
Pork	 3 oz (100 g) - minced 
Luganega sausage	 3 oz (100 g) 
Mortadella	 2 oz (80 g) - in a single slice 
Wholegrain bread	 1 oz (50 g) - stale and crust-free 
Parmigiano Reggiano PDO cheese	 1 oz (50 g) 
Parsley	 2 tsp (5 g) - finely chopped 
Eggs	 1 (60 g) - (1 medium one approx.) 
Nutmeg	 to taste 
Black pepper	 to taste 
Fine salt	 to taste 
