Manitoba flour	 2 cups (250 g) 
Flour 00	 2 ¼ cups (250 g) 
Sugar	 ⅓ cup (80 g) 
Whole milk	 1 ¼ cup (300 g) - at room temperature 
Fresh brewer's yeast	 1 tbsp (10 g) 
Butter	 2 tbsp (30 g) - at room temperature 
Fine salt	 ½ tsp (4 g) 
Vanilla bean	 ½ 
Egg yolks	 1 
Whole milk	 1 tbsp (15 g) 
Cow's milk ricotta cheese	 ⅔ cup (150 g) 
Fresh liquid cream	 ⅔ cup (150 g) 
Powdered sugar	 3 tbsp (25 g) 
Lemon peel	 ½ 
Whole milk	 ¾ cup (200 g) 
Sugar	 ⅓ cup (60 g) 
Cornstarch	 2 ½ tbsp (20 g) 
Wildflower honey	 ½ tbsp (10 g) 
Vanilla bean	 ½ 
