Dried cannellini beans	 2.8 cups (350 g) 
Extra virgin olive oil	 1 ½ tbsp (20 g) 
Garlic	 1 clove 
Rosemary	 1 sprig 
Water	 8 ½ cups (2 l) 
Fine salt	 to taste 
Black pepper	 to taste 
Verza (savoy cabbage)	 2 cups (250 g) 
Italian kale (cavolo nero)	 2.7 cups (300 g) 
Chard	 2.7 cups (300 g) 
Stale bread	 0.45 lb (220 g) 
Extra virgin olive oil	 25 (25 g) 
Peeled tomatoes	 1 cup (180 g) 
Potatoes	 1 
Onions	 0.6 cup (80 g) 
Carrots	 0.6 cup (80 g) 
Celery	 ½ cup (100 g) 
Black pepper	 to taste 
Fine salt	 to taste 
Peperoncino	 to taste - dry 
Thyme	 to taste - fresh 
