Boar	 2 lbs ( kg) 
Carrots	 3 
Celery	 4 stalks 
White onions	 2 
Garlic	 3 cloves 
Rosemary	 1 sprig 
Red wine	 7 tbsp (100 g) 
Fine salt	 to taste 
Black pepper	 to taste 
Extra virgin olive oil	 2 tbsp (30 g) 
Tomato paste	 ⅓ cup (75 g) 
Thyme	 to taste 
Sage	 to taste 
Marjoram	 to taste 
Dark chocolate	 1 tbsp (10 g) 
Juniper berries	 to taste 
Vegetable broth	 4 cups (1 l) 
Red wine	 2 cups (600 g) 
Carrots	 1 
Celery	 1 stalk 
White onions	 1 
Ground black pepper	 to taste 
Bay leaves	 4 leaves 
