Wavy lasagna	 9 oz (250 g) 
Tomato puree	 1 ¼ cup (300 g) 
Yellow onions	 ½ cup (30 g) 
Extra virgin olive oil	 to taste 
Fine salt	 to taste 
Spinach	 9 oz (250 g) - already washed 
Cow's milk ricotta cheese	 1 ¼ cup (350 g) 
Grana Padano PDO cheese	 ½ cup (40 g) 
Garlic	 1 clove 
Fine salt	 to taste 
Black pepper	 to taste 
Nutmeg	 to taste 
Extra virgin olive oil	 to taste 
Mozzarella cheese	 ⅔ cup (70 g) 
Grana Padano PDO cheese	 ⅓ cup (10 g) - grated 
Black pepper	 to taste 
Fine salt	 to taste 
Basil	 to taste 
