Manitoba flour	 1 cup (150 g) 
Whole milk	 ½ cup (100 g) 
Brewer's yeast	 ½ tsp (2 g) 
Flour 0	 3 cups (400 g) 
Whole milk	 ½ cup (120 g) 
Butter	 1 stick (80 g) 
Sugar	 3 tbsp (40 g) 
Eggs	 1 - (1 medium) 
Egg yolks	 1 - (of a medium egg) 
Brewer's yeast	 ½ tsp (2 g) 
Fine salt	 1 tsp (8 g) 
Malt	 1 tsp (2 g) 
Cream cheese	 ½ cup (100 g) 
Fresh liquid cream	 2 tsp (10 g) 
Fine salt	 to taste 
Black pepper	 to taste 
Chives	 2 tbsp (15 g) 
Smoked Salmon	 2 oz (80 g) 
Asparagus	 5 oz (150 g) 
Robiola cheese	 3 oz (100 g) 
Fine salt	 to taste 
Black pepper	 to taste 
Goat	 5 oz (160 g) 
Tomato paste	 1 tbsp (10 g) 
Fresh liquid cream	 1 tbsp (20 g) 
Radicchio	 1 oz (40 g) 
Prosciutto cotto	 3 oz (100 g) 
Black pepper	 to taste 
Fine salt	 to taste 
Shrimps	 6 oz (170 g) 
Chives	 2 tsp (5 g) 
Cocktail sauce	 5 tbsp (80 g) 
