Eggs	 3 
Whole milk	 2 ¼ cups (500 g) 
Flour 00	 2 ¼ cups (250 g) 
Butter	 1 stick - to grease the pan 
Beef	 1 lb - ground 
Pork	 0.7 lb (300 g) - ground 
Celery	 1 rib 
Carrots	 1 
White onions	 1 
Fine salt	 to taste 
Black pepper	 to taste 
Extra virgin olive oil	 2 ½ tbsp (30 g) 
Tomato puree	 1 ¼ cup (300 g) 
Water	 4 ¼ cups (1 l) 
Canned peas	 1 cup (250 g) 
Smoked scamorza cheese	 1.3 cups (150 g) 
White wine	 ¼ cup (50 g) 
Butter	 3.5 oz (100 g) 
Flour 00	 1 cup (100 g) 
Fine salt	 to taste 
Nutmeg	 to taste 
Whole milk	 4 ¼ cups (1 l) 
Thyme	 to taste 
Breadcrumbs	 3 tbsp 
Parmigiano Reggiano PDO cheese	 3 tbsp - grated 
