Rigatoni	 21 oz (600 g) 
Eggs	 4 - medium 
Parmigiano Reggiano PDO cheese	 3 tbsp - to be grated 
Scamorza (provola) cheese	 10.6 oz (300 g) 
Pork	 8.8 oz (250 g) - ground 
Sausage	 5.3 oz (150 g) 
Parmigiano Reggiano PDO cheese	 3.5 oz (100 g) - to be grated 
Bread	 3.5 oz (100 g) - soft inside part 
Parsley	 2 tbsp - shredded 
Eggs	 2 - medium 
Fine salt	 to taste 
Black pepper	 to taste 
Nutmeg	 1 pinch 
Tomato puree	 4 ¼ cups (1 l) 
White onions	 1 
Garlic	 1 clove 
Extra virgin olive oil	 4 tbsp 
Fine salt	 to taste 
Basil	 5 leaves 
Black pepper	 to taste 
Whole milk	 4 ¼ cups (1 l) 
Flour 00	 0.6 cup (80 g) 
Butter	 2.8 oz (80 g) 
Fine salt	 to taste 
Nutmeg	 1 pinch 
