Farina 00	 250 g 
Strutto	 50 g 
Burro	 50 g 
Zucchero	 80 g 
Miele millefiori	 20 g 
Uova	 (circa 1 medio) 60 g 
Latte intero	 40 g 
Scorza di limone	 ½ 
Scorza d'arancia	 ½ 
Sale fino	 1 pizzico 
Grano cotto	 200 g 
Latte intero	 80 g 
Burro	 25 g 
Scorza di limone	 q.b. 
Scorza d'arancia	 q.b. 
Sale fino	 1 pizzico 
Ricotta di pecora	 200 g 
Zucchero	 180 g 
Cedro candito	 50 g 
Miele millefiori	 20 g 
Uova	 2 
Tuorli	 1 
Acqua di fiori d'arancio	 q.b. 
Latte intero	 20 g 
Scorza d'arancia	 q.b. 
Scorza di limone	 q.b. 
Zucchero a velo	 q.b. 
