Farina Manitoba	 150 g 
Latte intero	 100 g 
Lievito di birra secco	 2 g 
Farina 0	 400 g 
Latte intero	 120 g 
Burro	 80 g 
Zucchero	 40 g 
Uova	 (medio) 1 
Tuorli	 (di un uovo medio) 1 
Lievito di birra secco	 2 g 
Sale fino	 8 g 
Malto	 2 g 
Insalata russa	 200 g 
Rucola	 40 g 
Spinaci	 250 g 
Ricotta vaccina	 100 g 
Sale fino	 q.b. 
Olio extravergine d'oliva	 q.b. 
Pepe nero	 q.b. 
Tonno sott'olio	 130 g 
Salmone affumicato	 150 g 
Stracciatella	 100 g 
Finocchietto selvatico	 q.b. 
Prosciutto crudo	 100 g 
Asiago	 80 g 
Maionese	 q.b. 
Maggiorana	 q.b. 
Patè di olive nere	 60 g 
Carciofi sott'olio	 150 g 
Acciughe sott'olio	 40 g 
Gamberetti	 150 g 
Maionese	 50 g 
Ketchup	 15 g 
Brandy	 1 cucchiaino 
Salsa Worcestershire	 1 cucchiaino 
