Rigatoni	 600 g 
Uova	 medie 4 
Parmigiano Reggiano DOP	 da grattugiare 3 cucchiai 
Scamorza (provola)	 300 g 
Carne di suino	 (macinato) 250 g 
Salsiccia	 150 g 
Parmigiano Reggiano DOP	 da grattugiare 100 g 
Pane	 mollica 100 g 
Prezzemolo	 tritato 2 cucchiai 
Uova	 medie 2 
Sale fino	 q.b. 
Pepe nero	 q.b. 
Noce moscata	 1 pizzico 
Passata di pomodoro	 1 l 
Cipolle bianche	 1 
Aglio	 1 spicchio 
Olio extravergine d'oliva	 4 cucchiai 
Sale fino	 q.b. 
Basilico	 5 foglie 
Pepe nero	 q.b. 
Latte intero	 1 l 
Farina 00	 80 g 
Burro	 80 g 
Sale fino	 q.b. 
Noce moscata	 1 pizzico 
